sentence,relation,enhanced_sentence,label_id
"They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a <e1>battalion</e1> of Panzer <e2>grenadiers</e2>.",13,"They tried an assault of their own an hour later, with two columns of sixteen tanks backed by a <e1>battalion</e1> of Panzer <e2>grenadiers</e2>. [SEP] battalion: an army unit usually consisting of a headquarters and three or more companies [KG: http://www.wikidata.org/prop/direct/P279: battalion; http://www.wikidata.org/prop/direct/P279: battalion; http://www.wikidata.org/prop/direct/P8030: battalion] [SEP] grenadiers: an infantryman equipped with grenades [KG: No data]",13
"Their <e1>knowledge</e1> of the power and rank symbols of the Continental empires was gained from the numerous Germanic <e2>recruits</e2> in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces.",8,"Their <e1>knowledge</e1> of the power and rank symbols of the Continental empires was gained from the numerous Germanic <e2>recruits</e2> in the Roman army, and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces. [SEP] knowledge: the psychological result of perception and learning and reasoning [KG: http://www.wikidata.org/prop/direct/P279: knowledge; http://www.wikidata.org/prop/direct/P460: knowledge] [SEP] recruits: a recently enlisted soldier [KG: No data]",8
She soon had a <e1>stable</e1> of her own rescued <e2>hounds</e2>.,13,She soon had a <e1>stable</e1> of her own rescued <e2>hounds</e2>. [SEP] stable: a farm building for housing horses or other livestock [KG: http://www.wikidata.org/prop/direct/P1889: stable; http://www.wikidata.org/prop/direct/P1889: stable; http://www.wikidata.org/prop/direct/P31: stable] [SEP] hounds: any of several breeds of dog used for hunting typically having large drooping ears [KG: No data],13
"The <e1>singer</e1>, who performed three of the nominated songs, also caused a <e2>commotion</e2> on the red carpet.",0,"The <e1>singer</e1>, who performed three of the nominated songs, also caused a <e2>commotion</e2> on the red carpet. [SEP] singer: a person who sings [KG: No data] [SEP] commotion: a disorderly outburst or tumult [KG: No data]",0
His intellectually engaging books and <e1>essays</e1> remain pertinent to illuminating contemporary <e2>history</e2>.,18,His intellectually engaging books and <e1>essays</e1> remain pertinent to illuminating contemporary <e2>history</e2>. [SEP] essays: an analytic or interpretive literary composition [KG: No data] [SEP] history: the aggregate of past events [KG: No data],18
"Poor hygiene controls, reports of a <e1>brace</e1> of gamey <e2>grouse</e2> and what looked like a skinned fox all amounted to a pie that was unfit for human consumption.",13,"Poor hygiene controls, reports of a <e1>brace</e1> of gamey <e2>grouse</e2> and what looked like a skinned fox all amounted to a pie that was unfit for human consumption. [SEP] brace: a support that steadies or strengthens something else [KG: No data] [SEP] grouse: flesh of any of various grouse of the family Tetraonidae; usually roasted; flesh too dry to broil [KG: No data]",13
"This sweet <e1>dress</e1> is made with a <e2>blend</e2> of cotton and silk, and the crochet flower necklace is the perfect accessory.",18,"This sweet <e1>dress</e1> is made with a <e2>blend</e2> of cotton and silk, and the crochet flower necklace is the perfect accessory. [SEP] dress: a one-piece garment for a woman; has skirt and bodice [KG: http://www.wikidata.org/prop/direct/P31: dress] [SEP] blend: an occurrence of thorough mixing [KG: No data]",18
"<e1>Suicide</e1> is one of the leading causes of <e2>death</e2> among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide.",0,"<e1>Suicide</e1> is one of the leading causes of <e2>death</e2> among pre-adolescents and teens, and victims of bullying are at an increased risk for committing suicide. [SEP] Suicide: the act of killing yourself [KG: http://www.wikidata.org/prop/direct/P1889: Suicide; http://www.wikidata.org/prop/direct/P175: Suicide] [SEP] death: the event of dying or departure from life [KG: No data]",0
"This <e1>article</e1> gives details on 2004 in <e2>music</e2> in the United Kingdom, including the official charts from that year.",14,"This <e1>article</e1> gives details on 2004 in <e2>music</e2> in the United Kingdom, including the official charts from that year. [SEP] article: nonfictional prose forming an independent part of a publication [KG: No data] [SEP] music: an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner [KG: http://www.wikidata.org/prop/direct/P1056: music; http://www.wikidata.org/prop/direct/P1889: music; http://www.wikidata.org/prop/direct/P1269: music; http://www.wikidata.org/prop/direct/P1889: music]",14
We have therefore taken the initiative to convene the first international open <e1>meeting</e1> dedicated solely to <e2>rural history</e2>.,14,We have therefore taken the initiative to convene the first international open <e1>meeting</e1> dedicated solely to <e2>rural history</e2>. [SEP] meeting: a formally arranged gathering [KG: http://www.wikidata.org/prop/direct/P279: meeting] [SEP] rural history: N/A [KG: No data],14
"The <e1>timer</e1> of the <e2>device</e2> automatically eliminates wasted ""standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets.",2,"The <e1>timer</e1> of the <e2>device</e2> automatically eliminates wasted ""standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets. [SEP] timer: a timepiece that measures a time interval and signals its end [KG: http://www.wikidata.org/prop/direct/P279: timer] [SEP] device: an instrumentality invented for a particular purpose [KG: No data]",2
Bob Parks made a similar <e1>offer</e1> in a <e2>phone call</e2> made earlier this week.,15,Bob Parks made a similar <e1>offer</e1> in a <e2>phone call</e2> made earlier this week. [SEP] offer: the verbal act of offering [KG: No data] [SEP] phone call: N/A [KG: No data],15
He had chest pains and <e1>headaches</e1> from <e2>mold</e2> in the bedrooms.,1,He had chest pains and <e1>headaches</e1> from <e2>mold</e2> in the bedrooms. [SEP] headaches: something or someone that causes anxiety; a source of unhappiness [KG: No data] [SEP] mold: the distinctive form in which a thing is made [KG: No data],1
The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the <e1>country</e1>'s founding <e2>father</e2>.,16,The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the <e1>country</e1>'s founding <e2>father</e2>. [SEP] country: a politically organized body of people under a single government [KG: http://www.wikidata.org/prop/direct/P1687: country; http://www.wikidata.org/prop/direct/P1963: country; http://www.wikidata.org/prop/direct/P2959: country; http://www.wikidata.org/prop/direct/P2959: country] [SEP] father: a male parent (also used as a term of address to your father) [KG: http://www.wikidata.org/prop/direct/P1629: father; http://www.wikidata.org/prop/direct/P1687: father],16
It describes a method for loading a horizontal <e1>stack</e1> of containers into a <e2>carton</e2>.,6,It describes a method for loading a horizontal <e1>stack</e1> of containers into a <e2>carton</e2>. [SEP] stack: an orderly pile [KG: http://www.wikidata.org/prop/direct/P138: stack] [SEP] carton: the quantity contained in a carton [KG: No data],6
The Foundation decided to repurpose the building in order to reduce wear and tear on the <e1>plumbing</e1> in the <e2>manor house</e2> by redirecting visitors during restoration projects and beyond.,2,The Foundation decided to repurpose the building in order to reduce wear and tear on the <e1>plumbing</e1> in the <e2>manor house</e2> by redirecting visitors during restoration projects and beyond. [SEP] plumbing: utility consisting of the pipes and fixtures for the distribution of water or gas in a building and for the disposal of sewage [KG: http://www.wikidata.org/prop/direct/P1535: plumbing; http://www.wikidata.org/prop/direct/P1889: plumbing; http://www.wikidata.org/prop/direct/P1889: plumbing; http://www.wikidata.org/prop/direct/P2283: plumbing] [SEP] manor house: N/A [KG: http://www.wikidata.org/prop/direct/P279: manor house; http://www.wikidata.org/prop/direct/P31: manor house; http://www.wikidata.org/prop/direct/P31: manor house],2
The technology is available to produce and transmit <e1>electricity</e1> economically from OTEC <e2>systems</e2>.,8,The technology is available to produce and transmit <e1>electricity</e1> economically from OTEC <e2>systems</e2>. [SEP] electricity: a physical phenomenon associated with stationary or moving electrons and protons [KG: No data] [SEP] systems: instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity [KG: http://www.wikidata.org/prop/direct/P2550: systems],8
The Medicare buy-in <e1>plan</e1> ran into Senate <e2>resistance</e2>.,18,The Medicare buy-in <e1>plan</e1> ran into Senate <e2>resistance</e2>. [SEP] plan: a series of steps to be carried out or goals to be accomplished [KG: http://www.wikidata.org/prop/direct/P279: plan; http://www.wikidata.org/prop/direct/P1889: plan] [SEP] resistance: the action of opposing something that you disapprove or disagree with [KG: http://www.wikidata.org/prop/direct/P279: resistance],18
"The <e1>provinces</e1> are divided into <e2>counties</e2> (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan).",3,"The <e1>provinces</e1> are divided into <e2>counties</e2> (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan). [SEP] provinces: the territory occupied by one of the constituent administrative districts of a nation [KG: No data] [SEP] counties: (United Kingdom) a region created by territorial division for the purpose of local government [KG: No data]",3
Financial <e1>stress</e1> is one of the main causes of <e2>divorce</e2>.,0,Financial <e1>stress</e1> is one of the main causes of <e2>divorce</e2>. [SEP] stress: the relative prominence of a syllable or musical note (especially with regard to stress or pitch) [KG: http://www.wikidata.org/prop/direct/P279: stress] [SEP] divorce: the legal dissolution of a marriage [KG: No data],0
<e1>Newspapers</e1> swap content via widgets with the help of the newsgator <e2>service</e2>.,11,<e1>Newspapers</e1> swap content via widgets with the help of the newsgator <e2>service</e2>. [SEP] Newspapers: a daily or weekly publication on folded sheets; contains news and articles and advertisements [KG: No data] [SEP] service: work done by one person or group that benefits another [KG: http://www.wikidata.org/prop/direct/P279: service; http://www.wikidata.org/prop/direct/P279: service; http://www.wikidata.org/prop/direct/P1889: service; http://www.wikidata.org/prop/direct/P1889: service],11
The <e1>women</e1> that caused the <e2>accident</e2> was on the cell phone and ran thru the intersection without pausing on the median.,0,The <e1>women</e1> that caused the <e2>accident</e2> was on the cell phone and ran thru the intersection without pausing on the median. [SEP] women: an adult female person (as opposed to a man) [KG: No data] [SEP] accident: an unfortunate mishap; especially one causing damage or injury [KG: http://www.wikidata.org/prop/direct/P1889: accident; http://www.wikidata.org/prop/direct/P1889: accident],0
The <e1>transmitter</e1> was discovered inside a bed settee <e2>suite</e2> on which he had been sitting.,4,The <e1>transmitter</e1> was discovered inside a bed settee <e2>suite</e2> on which he had been sitting. [SEP] transmitter: someone who transmits a message [KG: No data] [SEP] suite: a musical composition of several movements only loosely connected [KG: http://www.wikidata.org/prop/direct/P279: suite],4
The Kerala backwaters are a <e1>chain</e1> of brackish <e2>lagoons</e2> and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.,13,The Kerala backwaters are a <e1>chain</e1> of brackish <e2>lagoons</e2> and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India. [SEP] chain: a series of things depending on each other as if linked together [KG: http://www.wikidata.org/prop/direct/P180: chain; http://www.wikidata.org/prop/direct/P279: chain] [SEP] lagoons: a body of water cut off from a larger body by a reef of sand or coral [KG: No data],13
"A St. Paul College <e1>student</e1> was released from <e2>jail</e2> Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus.",8,"A St. Paul College <e1>student</e1> was released from <e2>jail</e2> Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus. [SEP] student: a learner who is enrolled in an educational institution [KG: http://www.wikidata.org/prop/direct/P1629: student; http://www.wikidata.org/prop/direct/P1687: student] [SEP] jail: a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence) [KG: No data]",8
<e1>Calluses</e1> are caused by improperly fitting shoes or by a <e2>skin abnormality</e2>.,1,<e1>Calluses</e1> are caused by improperly fitting shoes or by a <e2>skin abnormality</e2>. [SEP] Calluses: an area of skin that is thick or hard from continual pressure or friction (as the sole of the foot) [KG: No data] [SEP] skin abnormality: N/A [KG: No data],1
<e1>Adults</e1> use <e2>drugs</e2> for this purpose.,11,<e1>Adults</e1> use <e2>drugs</e2> for this purpose. [SEP] Adults: a fully developed person from maturity onward [KG: No data] [SEP] drugs: a substance that is used as a medicine or narcotic [KG: No data],11
The <e1>councilor</e1> proposed assessing infinitival complements through <e2>elicitation</e2>.,11,The <e1>councilor</e1> proposed assessing infinitival complements through <e2>elicitation</e2>. [SEP] councilor: N/A [KG: No data] [SEP] elicitation: stimulation that calls up (draws forth) a particular class of behaviors [KG: No data],11
"As in the popular movie ""Deep Impact"", the action of the Perseid <e1>meteor shower</e1> is caused by a <e2>comet</e2>, in this case periodic comet Swift-Tuttle.",1,"As in the popular movie ""Deep Impact"", the action of the Perseid <e1>meteor shower</e1> is caused by a <e2>comet</e2>, in this case periodic comet Swift-Tuttle. [SEP] meteor shower: N/A [KG: No data] [SEP] comet: (astronomy) a relatively small extraterrestrial body consisting of a frozen mass that travels around the sun in a highly elliptical orbit [KG: No data]",1
The following information appeared in the <e1>notes</e1> to consolidated financial <e2>statements</e2> of some corporate annual reports.,18,The following information appeared in the <e1>notes</e1> to consolidated financial <e2>statements</e2> of some corporate annual reports. [SEP] notes: a brief written record [KG: No data] [SEP] statements: a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc [KG: No data],18
HipHop appropriates the symbols of a consumer society: oversized <e1>diamond</e1> <e2>colliers</e2> are worn.,18,HipHop appropriates the symbols of a consumer society: oversized <e1>diamond</e1> <e2>colliers</e2> are worn. [SEP] diamond: a transparent piece of diamond that has been cut and polished and is valued as a precious gem [KG: http://www.wikidata.org/prop/direct/P186: diamond] [SEP] colliers: someone who works in a coal mine [KG: No data],18
The <e1>radiation</e1> from the atomic <e2>bomb explosion</e2> is a typical acute radiation.,1,The <e1>radiation</e1> from the atomic <e2>bomb explosion</e2> is a typical acute radiation. [SEP] radiation: energy that is radiated or transmitted in the form of rays or waves or particles [KG: No data] [SEP] bomb explosion: N/A [KG: No data],1
The ride-on <e1>boat</e1> <e2>tiller</e2> was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista.,3,The ride-on <e1>boat</e1> <e2>tiller</e2> was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista. [SEP] boat: a small vessel for travel on water [KG: No data] [SEP] tiller: a shoot that sprouts from the base of a grass [KG: No data],3
A neoplastic <e1>recurrence</e1> arose from an extensive <e2>radiation</e2> induced ulceration.,1,A neoplastic <e1>recurrence</e1> arose from an extensive <e2>radiation</e2> induced ulceration. [SEP] recurrence: happening again (especially at regular intervals) [KG: No data] [SEP] radiation: energy that is radiated or transmitted in the form of rays or waves or particles [KG: No data],1
He has a tattoo on his right arm and <e1>scars</e1> from <e2>stitches</e2> on his right elbow.,1,"He has a tattoo on his right arm and <e1>scars</e1> from <e2>stitches</e2> on his right elbow. [SEP] scars: a mark left (usually on the skin) by the healing of injured tissue [KG: No data] [SEP] stitches: a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing [KG: No data]",1
"Whether your home includes a charm of finches, a sute of bloodhounds, or a <e1>knob</e1> of <e2>toads</e2>, I think it's important to keep the numbers within reason.",13,"Whether your home includes a charm of finches, a sute of bloodhounds, or a <e1>knob</e1> of <e2>toads</e2>, I think it's important to keep the numbers within reason. [SEP] knob: a circular rounded projection or protuberance [KG: No data] [SEP] toads: any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species [KG: No data]",13
"Furthermore, these INGO practitioners constructed a <e1>discourse</e1> around <e2>participation</e2> which distorted the real significance of participation.",14,"Furthermore, these INGO practitioners constructed a <e1>discourse</e1> around <e2>participation</e2> which distorted the real significance of participation. [SEP] discourse: extended verbal expression in speech or writing [KG: No data] [SEP] participation: the act of sharing in the activities of a group [KG: No data]",14
Kelvin bought a <e1>silver</e1> <e2>ring</e2> which he was so happy with and he keeps wearing it now even though its abit too big haha.,18,Kelvin bought a <e1>silver</e1> <e2>ring</e2> which he was so happy with and he keeps wearing it now even though its abit too big haha. [SEP] silver: a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography [KG: http://www.wikidata.org/prop/direct/P462: silver; http://www.wikidata.org/prop/direct/P527: silver; http://www.wikidata.org/prop/direct/P462: silver] [SEP] ring: a characteristic sound [KG: No data],18
Scientists are in the midst of an ongoing <e1>debate</e1> about the relative <e2>value</e2> of openness and collaboration in their profession.,14,Scientists are in the midst of an ongoing <e1>debate</e1> about the relative <e2>value</e2> of openness and collaboration in their profession. [SEP] debate: a discussion in which reasons are advanced for and against some proposition or proposal [KG: http://www.wikidata.org/prop/direct/P279: debate; http://www.wikidata.org/prop/direct/P460: debate; http://www.wikidata.org/prop/direct/P279: debate; http://www.wikidata.org/prop/direct/P460: debate] [SEP] value: a numerical quantity measured or assigned or computed [KG: http://www.wikidata.org/prop/direct/P279: value; http://www.wikidata.org/prop/direct/P1889: value; http://www.wikidata.org/prop/direct/P1889: value; http://www.wikidata.org/prop/direct/P1268: value; http://www.wikidata.org/prop/direct/P279: value],14
This cut blue and white striped cotton <e1>dress</e1> with red bands on the bodice was in a <e2>trunk</e2> of vintage Barbie clothing.,4,This cut blue and white striped cotton <e1>dress</e1> with red bands on the bodice was in a <e2>trunk</e2> of vintage Barbie clothing. [SEP] dress: a one-piece garment for a woman; has skirt and bodice [KG: http://www.wikidata.org/prop/direct/P31: dress] [SEP] trunk: the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber [KG: http://www.wikidata.org/prop/direct/P138: trunk; http://www.wikidata.org/prop/direct/P1889: trunk; http://www.wikidata.org/prop/direct/P1889: trunk; http://www.wikidata.org/prop/direct/P1889: trunk],4
My major <e1>disagreement</e1> with Lyons concerns the <e2>causal part</e2> of his theory.,18,My major <e1>disagreement</e1> with Lyons concerns the <e2>causal part</e2> of his theory. [SEP] disagreement: a conflict of people's opinions or actions or characters [KG: No data] [SEP] causal part: N/A [KG: No data],18
Both his <e1>feet</e1> have been moving into the <e2>ball</e2>.,6,Both his <e1>feet</e1> have been moving into the <e2>ball</e2>. [SEP] feet: the part of the leg of a human being below the ankle joint [KG: No data] [SEP] ball: round object that is hit or thrown or kicked in games [KG: http://www.wikidata.org/prop/direct/P1419: ball; http://www.wikidata.org/prop/direct/P1889: ball; http://www.wikidata.org/prop/direct/P279: ball],6
"The scissors were in a small plastic soap container, next to a bar of soap, and the <e1>box cutters</e1> were in a <e2>box</e2> next to a bottle of after-shave lotion.",4,"The scissors were in a small plastic soap container, next to a bar of soap, and the <e1>box cutters</e1> were in a <e2>box</e2> next to a bottle of after-shave lotion. [SEP] box cutters: N/A [KG: No data] [SEP] box: a (usually rectangular) container; may have a lid [KG: http://www.wikidata.org/prop/direct/P1889: box; http://www.wikidata.org/prop/direct/P1889: box; http://www.wikidata.org/prop/direct/P31: box]",4
"A great <e1>wing</e1> of fluorite <e2>dragons</e2>, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos.",13,"A great <e1>wing</e1> of fluorite <e2>dragons</e2>, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos. [SEP] wing: a movable organ for flying (one of a pair) [KG: http://www.wikidata.org/prop/direct/P279: wing; http://www.wikidata.org/prop/direct/P460: wing; http://www.wikidata.org/prop/direct/P279: wing] [SEP] dragons: a creature of Teutonic mythology; usually represented as breathing fire and having a reptilian body and sometimes wings [KG: No data]",13
"As a control, <e1>cowpea</e1> was sealed in <e2>double bags</e2> without fumigant.",6,"As a control, <e1>cowpea</e1> was sealed in <e2>double bags</e2> without fumigant. [SEP] cowpea: fruit or seed of the cowpea plant [KG: No data] [SEP] double bags: N/A [KG: No data]",6
The infectious bacterial disease <e1>brucellosis</e1> has been found in a beef <e2>cow</e2> in eastern Idaho.,18,The infectious bacterial disease <e1>brucellosis</e1> has been found in a beef <e2>cow</e2> in eastern Idaho. [SEP] brucellosis: infectious bacterial disease of human beings transmitted by contact with infected animals or infected meat or milk products; characterized by fever and headache [KG: No data] [SEP] cow: female of domestic cattle: [KG: http://www.wikidata.org/prop/direct/P180: cow],18
"As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and <e1>rout</e1> of the undisciplined Gaelic <e2>hosts</e2>.",18,"As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and <e1>rout</e1> of the undisciplined Gaelic <e2>hosts</e2>. [SEP] rout: a disorderly crowd of people [KG: No data] [SEP] hosts: a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there [KG: No data]",18
